Tên lớp,Khoa
K7.NA7A,Khoa Ngoại ngữ
K7.NA7B,Khoa Ngoại ngữ
K7.NA7C,Khoa Ngoại ngữ
K7.NA7D,Khoa Ngoại ngữ
K8.NA8A,Khoa Ngoại ngữ
K8.NA8B,Khoa Ngoại ngữ
K8.NA8C,Khoa Ngoại ngữ
K8.NA8D,Khoa Ngoại ngữ
K9.NA9A,Khoa Ngoại ngữ
K9.NA9B,Khoa Ngoại ngữ
K9.NA9C,Khoa Ngoại ngữ
K7.TQ7A,Khoa Ngoại ngữ
K7.TQ7B,Khoa Ngoại ngữ
K7.TQ7C,Khoa Ngoại ngữ
K7.TQ7D,Khoa Ngoại ngữ
K7.TQ7E,Khoa Ngoại ngữ
K7.TQ7F,Khoa Ngoại ngữ
K7.TQ7G,Khoa Ngoại ngữ
K7.TQ7H,Khoa Ngoại ngữ
K8.TQ8A,Khoa Ngoại ngữ
K8.TQ8B,Khoa Ngoại ngữ
K8.TQ8C,Khoa Ngoại ngữ
K8.TQ8D,Khoa Ngoại ngữ
K8.TQ8E,Khoa Ngoại ngữ
K9.TQ9A,Khoa Ngoại ngữ
K9.TQ9B,Khoa Ngoại ngữ
K9.TQ9C,Khoa Ngoại ngữ
K9.TQ9D,Khoa Ngoại ngữ
K9.TQ9E,Khoa Ngoại ngữ
K9.TQ9F,Khoa Ngoại ngữ
K9.TQ9G,Khoa Ngoại ngữ
K9.TQ9H,Khoa Ngoại ngữ
K7.NB6A,Khoa Ngoại ngữ
K7.NB6B,Khoa Ngoại ngữ
K8.NB7A,Khoa Ngoại ngữ
K8.NB7B,Khoa Ngoại ngữ
K9.NB9A,Khoa Ngoại ngữ
K7.HQ3A,Khoa Ngoại ngữ
K7.HQ3B,Khoa Ngoại ngữ
K8.HQ4A,Khoa Ngoại ngữ
K8.HQ4B,Khoa Ngoại ngữ
K8.HQ4C,Khoa Ngoại ngữ
K9.HQ5A,Khoa Ngoại ngữ
K9.HQ5B,Khoa Ngoại ngữ
K9.HQ5C,Khoa Ngoại ngữ
K7.STH1A,Khoa Sư phạm
K7.STH1B,Khoa Sư phạm
K7.STH1C,Khoa Sư phạm
K8.STH2A,Khoa Sư phạm
K8.STH2B,Khoa Sư phạm
K8.STH2C,Khoa Sư phạm
K9.STH3A,Khoa Sư phạm
K9.STH3B,Khoa Sư phạm
K9.STH3C,Khoa Sư phạm
K7.SMN1,Khoa Sư phạm
K8.SMN2,Khoa Sư phạm
K9.SMN3A,Khoa Sư phạm
K9.SMN3B,Khoa Sư phạm
K8.VBC1,Khoa Sư phạm
K9.VBC2,Khoa Sư phạm
K8.CM21,Khoa Sư phạm
K9.CM22,Khoa Sư phạm
K7.VH7A,Khoa Văn hóa
K8.VH8A,Khoa Văn hóa
K9.VH9A,Khoa Văn hóa
K7.KM7A,Khoa Công nghệ thông tin
K7.KM7B,Khoa Công nghệ thông tin
K8.KM8A,Khoa Công nghệ thông tin
K8.KM8B,Khoa Công nghệ thông tin
K9.KM9,Khoa Công nghệ thông tin
K8.ĐH1A,Khoa Công nghệ thông tin
K8.ĐH1B,Khoa Công nghệ thông tin
K9.ĐH2A,Khoa Công nghệ thông tin
K9.ĐH2B,Khoa Công nghệ thông tin
K9.CT1A,Khoa Công nghệ thông tin
K9.CT1B,Khoa Công nghệ thông tin
K9.CT1C,Khoa Công nghệ thông tin
K7.TS6,Khoa Thủy Sản
K8.TS7,Khoa Thủy Sản
K9.TS8,Khoa Thủy Sản
K7.MT6,Khoa Môi Trường
K8.MT7,Khoa Môi Trường
K9.MT8,Khoa Môi Trường
K7.LH7A,Khoa Du lịch
K7.LH7B,Khoa Du lịch
K7.LH7C,Khoa Du lịch
K8.LH8A,Khoa Du lịch
K8.LH8B,Khoa Du lịch
K8.LH8C,Khoa Du lịch
K9.LH9A,Khoa Du lịch
K9.LH9B,Khoa Du lịch
K9.LH9C,Khoa Du lịch
K9.LH9D,Khoa Du lịch
K7.KS6A,Khoa Du lịch
K7.KS6B,Khoa Du lịch
K7.KS6C,Khoa Du lịch
K8.KS7A,Khoa Du lịch
K8.KS7B,Khoa Du lịch
K8.KS7C,Khoa Du lịch
K9.KS8A,Khoa Du lịch
K9.KS8B,Khoa Du lịch
K9.KS8C,Khoa Du lịch
K8.QK1A,Khoa Du lịch
K8.QK1B,Khoa Du lịch
K9.QK2A,Khoa Du lịch
K9.QK2B,Khoa Du lịch
K9.QK2C,Khoa Du lịch
K7.AU4A,Khoa Du lịch
K7.AU4B,Khoa Du lịch
K8.AU5A,Khoa Du lịch
K8.AU5B,Khoa Du lịch
K9.AU6A,Khoa Du lịch
K9.AU6B,Khoa Du lịch
K8.CTN12,Khoa Nghệ thuật
K9.CTN13,Khoa Nghệ thuật
K7.TTN15,Khoa Nghệ thuật
K8.TTN16,Khoa Nghệ thuật
K9.TTN17,Khoa Nghệ thuật
K6.TKM12,Khoa Nghệ thuật
K7.TKM13,Khoa Nghệ thuật
K8.TKM14,Khoa Nghệ thuật
K5.TNT16,Khoa Nghệ thuật
K5.TNP16,Khoa Nghệ thuật
K6.TNT17,Khoa Nghệ thuật
K6.TNP17,Khoa Nghệ thuật
K7.TNT18,Khoa Nghệ thuật
K7.TNP18,Khoa Nghệ thuật
K8.TNT19,Khoa Nghệ thuật
K8.TNP19,Khoa Nghệ thuật
K9.TNT20,Khoa Nghệ thuật
K9.TNP20,Khoa Nghệ thuật
K7.THH12,Khoa Nghệ thuật
K8.THH13,Khoa Nghệ thuật
K9.THH14,Khoa Nghệ thuật
